#HeroicDeathPlus Data Log - This file stores serialized data on player deaths in the following order:
#HeroicDeathPlus ??? - ???? ???? ???????? ?????? ? ??????? ? ????? ???????:
#Victim|Killer|Murder Weapon|Cause of Death|Location|Timestamp|Death Message
#??????|??????|?????? ????????|??????? ??????|??????????????|?????|????????? ? ??????
#Murder weapon is in the format TypeIDxData, so Red Wool would be 35x14
#Location is in the format (x, y, z), and represents where the victim died.
NicoTCS|ziboul50|267x-72|ENTITY_ATTACK|Arene (693.0,79.0,4.0)|06/07/2013 18:11:35 CEST|ziboul50 killed NicoTCS wielding iron sword
ziboul50|||FIRE_TICK|Arene (695.0,79.0,5.0)|06/07/2013 18:11:37 CEST|ziboul50 burned to death
BANANE_K1LLER|||VOID|Arene (-198.0,-195.0,257.0)|06/07/2013 18:11:49 CEST|BANANE_K1LLER fell into the Gap
NicoTCS|||LAVA|Arene (680.0,35.0,-15.0)|06/07/2013 18:12:18 CEST|NicoTCS was killed by lava
ziboul50|Zombie||ENTITY_ATTACK|Arene (701.0,79.0,-13.0)|06/07/2013 18:12:43 CEST|ziboul50 was killed by an angry Zombie
NicoTCS|ziboul50|267x-71|ENTITY_ATTACK|Arene (692.0,79.0,5.0)|06/07/2013 18:13:01 CEST|ziboul50 killed NicoTCS wielding iron sword
ziboul50|BANANE_K1LLER|261x34|PROJECTILE|Arene (704.0,79.0,-2.0)|06/07/2013 18:13:06 CEST|BANANE_K1LLER killed ziboul50 wielding bow & arrow
BANANE_K1LLER|NicoTCS|267x75|ENTITY_ATTACK|Arene (694.0,79.0,0.0)|06/07/2013 18:13:14 CEST|NicoTCS killed BANANE_K1LLER wielding iron sword
BANANE_K1LLER|Zombie||ENTITY_ATTACK|Arene (689.0,79.0,-31.0)|06/07/2013 18:13:56 CEST|BANANE_K1LLER was killed by an angry Zombie
DarknessGamers|NicoTCS|261x0|PROJECTILE|Arene (694.0,80.0,5.0)|06/07/2013 18:13:59 CEST|NicoTCS killed DarknessGamers wielding bow & arrow
NicoTCS|||FALL|Arene (699.0,50.0,15.0)|06/07/2013 18:14:14 CEST|NicoTCS took a leap of faith
NicoTCS|ziboul50|267x-70|ENTITY_ATTACK|Arene (697.0,79.0,4.0)|06/07/2013 18:14:30 CEST|ziboul50 killed NicoTCS wielding iron sword
ziboul50|DarknessGamers|272x3|ENTITY_ATTACK|Arene (693.0,79.0,5.0)|06/07/2013 18:14:36 CEST|DarknessGamers killed ziboul50 wielding stone sword
DarknessGamers|||FIRE_TICK|Arene (697.0,79.0,6.0)|06/07/2013 18:14:42 CEST|DarknessGamers burned to death
BANANE_K1LLER|NicoTCS|267x80|ENTITY_ATTACK|Arene (695.0,79.0,-14.0)|06/07/2013 18:14:43 CEST|NicoTCS killed BANANE_K1LLER wielding iron sword
NicoTCS|ziboul50|267x-69|ENTITY_ATTACK|Arene (693.0,79.0,6.0)|06/07/2013 18:15:08 CEST|ziboul50 killed NicoTCS wielding iron sword
DarknessGamers|ziboul50|261x19|PROJECTILE|Arene (677.0,79.0,-26.0)|06/07/2013 18:15:23 CEST|ziboul50 killed DarknessGamers wielding bow & arrow
ziboul50|NicoTCS|267x83|ENTITY_ATTACK|Arene (693.0,79.0,-1.0)|06/07/2013 18:15:34 CEST|NicoTCS killed ziboul50 wielding iron sword
BANANE_K1LLER|||LAVA|Arene (709.0,36.0,-16.0)|06/07/2013 18:15:38 CEST|BANANE_K1LLER became obsidian
DarknessGamers|||FIRE_TICK|Arene (659.0,79.0,-34.0)|06/07/2013 18:16:07 CEST|DarknessGamers forgot how to stop, drop and roll
Kengin|NicoTCS|261x0|PROJECTILE|Arene (694.0,79.0,-6.0)|06/07/2013 18:16:19 CEST|NicoTCS killed Kengin wielding bow & arrow
NicoTCS|||FALL|Arene (686.0,46.0,13.0)|06/07/2013 18:16:25 CEST|NicoTCS fell to their death
ziboul50|||FALL|Arene (701.0,49.0,11.0)|06/07/2013 18:16:41 CEST|ziboul50 took a leap of faith
DarknessGamers|NicoTCS|272x58|ENTITY_ATTACK|Arene (701.0,80.0,6.0)|06/07/2013 18:16:43 CEST|NicoTCS killed DarknessGamers wielding stone sword
NicoTCS|||FALL|Arene (703.0,50.0,13.0)|06/07/2013 18:16:45 CEST|NicoTCS took a leap of faith
Kengin|||LAVA|Arene (674.0,32.0,-21.0)|06/07/2013 18:16:59 CEST|Kengin took a bath in a lake of fire
BANANE_K1LLER|Zombie||ENTITY_ATTACK|Arene (666.0,79.0,-50.0)|06/07/2013 18:17:43 CEST|BANANE_K1LLER was killed by an angry Zombie
NicoTCS|||FALL|Arene (690.0,49.0,15.0)|06/07/2013 18:17:45 CEST|NicoTCS took a leap of faith
Kengin|||FIRE_TICK|Arene (691.0,79.0,6.0)|06/07/2013 18:17:47 CEST|Kengin burned to death
NicoTCS|Kengin|272x19|ENTITY_ATTACK|Arene (687.0,79.0,6.0)|06/07/2013 18:18:09 CEST|Kengin killed NicoTCS wielding stone sword
Kengin|NicoTCS|267x90|ENTITY_ATTACK|Arene (697.0,79.0,4.0)|06/07/2013 18:18:25 CEST|NicoTCS killed Kengin wielding iron sword
sptim|||LAVA|Arene (672.0,43.0,-22.0)|06/07/2013 18:18:49 CEST|sptim was killed by lava
bd314|||DROWNING|Faction (867.0,13.0,521.0)|06/07/2013 18:20:58 CEST|bd314 as nagee trop longtemps !
bd314|||DROWNING|Faction (862.0,13.0,518.0)|06/07/2013 18:21:32 CEST|bd314 as nagee trop longtemps !
bd314|||DROWNING|Faction (875.0,13.0,523.0)|06/07/2013 18:22:02 CEST|bd314 as nagee trop longtemps !
relou|Creeper||ENTITY_ATTACK|Magellan (-53.0,66.0,235.0)|06/07/2013 18:23:13 CEST|relou was creeper bombed
R98|||LAVA|Arene (688.0,34.0,-26.0)|06/07/2013 18:24:51 CEST|R98 became obsidian
NicoTCS|||LAVA|Arene (689.0,33.0,-47.0)|06/07/2013 18:24:58 CEST|NicoTCS took a bath in a lake of fire
R98|||FALL|Arene (686.0,79.0,-32.0)|06/07/2013 18:25:07 CEST|R98 fell to their death
R98|bd314|276x0|ENTITY_ATTACK|Arene (662.0,79.0,-35.0)|06/07/2013 18:25:24 CEST|bd314 killed R98 wielding diamond sword
NicoTCS|||LAVA|Arene (672.0,35.0,-45.0)|06/07/2013 18:25:25 CEST|NicoTCS took a bath in a lake of fire
guilhyan12|||FIRE|Arene (676.0,33.0,-47.0)|06/07/2013 18:25:32 CEST|guilhyan12 forgot how to stop, drop and roll
BANANE_K1LLER|NicoTCS|267x110|ENTITY_ATTACK|Arene (685.0,79.0,-32.0)|06/07/2013 18:25:38 CEST|NicoTCS killed BANANE_K1LLER wielding iron sword
LOOK|NicoTCS|267x112|ENTITY_ATTACK|Arene (680.0,80.0,-66.0)|06/07/2013 18:25:46 CEST|NicoTCS killed LOOK wielding iron sword
NicoTCS|guilhyan12|261x81|PROJECTILE|Arene (693.0,79.0,6.0)|06/07/2013 18:26:12 CEST|guilhyan12 killed NicoTCS wielding bow & arrow
guilhyan12|||FALL|Arene (665.0,61.0,-27.0)|06/07/2013 18:26:30 CEST|guilhyan12 took a leap of faith
relou|NicoTCS|267x121|ENTITY_ATTACK|Arene (669.0,79.0,-14.0)|06/07/2013 18:26:35 CEST|NicoTCS killed relou wielding iron sword
juju|||VOID|Arene (-198.0,-159.0,257.0)|06/07/2013 18:28:16 CEST|juju fell into the Gap
NicoTCS|||FIRE|Arene (669.0,36.0,-12.0)|06/07/2013 18:28:29 CEST|NicoTCS forgot how to stop, drop and roll
TheDarwald|||FALL|Arene (652.0,41.0,-31.0)|06/07/2013 18:29:01 CEST|TheDarwald took a leap of faith
NicoTCS|||FALL|Arene (656.0,39.0,-36.0)|06/07/2013 18:29:07 CEST|NicoTCS fell to their death
NicoTCS|bd314|276x0|ENTITY_ATTACK|Arene (679.0,80.0,-31.0)|06/07/2013 18:29:19 CEST|bd314 ete tue par NicoTCS avec diamond sword
juju|bd314|276x0|ENTITY_ATTACK|Arene (708.0,79.0,-56.0)|06/07/2013 18:29:28 CEST|bd314 ete tue par juju avec diamond sword
TheDarwald|Zombie||ENTITY_ATTACK|Arene (700.0,79.0,-51.0)|06/07/2013 18:29:46 CEST|TheDarwald a ete tuee par un Zombie
juju|NicoTCS|267x-112|ENTITY_ATTACK|Arene (706.0,79.0,-56.0)|06/07/2013 18:30:03 CEST|NicoTCS ete tue par juju avec iron sword
NicoTCS|guilhyan12|261x84|PROJECTILE|Arene (707.0,79.0,-57.0)|06/07/2013 18:30:12 CEST|guilhyan12 ete tue par NicoTCS avec bow & arrow
guilhyan12|TheDarwald|267x5|ENTITY_ATTACK|Arene (692.0,79.0,-33.0)|06/07/2013 18:30:13 CEST|TheDarwald ete tue par guilhyan12 avec iron sword
NicoTCS|||FALL|Arene (716.0,37.0,-23.0)|06/07/2013 18:30:27 CEST|NicoTCS took a leap of faith
R98|||FALL|Faction (853.0,17.0,600.0)|06/07/2013 18:32:35 CEST|R98 fell to their death
R98|bd314|276x0|ENTITY_ATTACK|Arene (691.0,79.0,-44.0)|06/07/2013 18:32:49 CEST|bd314 tue R98 avec diamond sword
bd314|||FIRE|Arene (685.0,36.0,-39.0)|06/07/2013 18:33:38 CEST|bd314 forgot how to stop, drop and roll
TheDarwald|||LAVA|Arene (693.0,34.0,-43.0)|06/07/2013 18:35:12 CEST|TheDarwald became obsidian
TheDarwald|Zombie||ENTITY_ATTACK|Arene (682.0,79.0,-69.0)|06/07/2013 18:37:54 CEST|TheDarwald a ete tuee par un Zombie
darklegend|||LAVA|Arene (679.0,34.0,-26.0)|06/07/2013 18:38:59 CEST|darklegend took a bath in a lake of fire
darklegend|||LAVA|Arene (696.0,34.0,-40.0)|06/07/2013 18:39:32 CEST|darklegend took a bath in a lake of fire
TheDarwald|||LAVA|Arene (718.0,38.0,-35.0)|06/07/2013 18:39:48 CEST|TheDarwald was killed by lava
TheDarwald|||LAVA|Arene (678.0,34.0,-21.0)|06/07/2013 18:40:40 CEST|TheDarwald took a bath in a lake of fire
darklegend|||LAVA|Arene (672.0,33.0,-29.0)|06/07/2013 18:40:47 CEST|darklegend was killed by lava
darklegend|||LAVA|Arene (669.0,34.0,-38.0)|06/07/2013 18:41:27 CEST|darklegend was killed by lava
Lulufp27|||LAVA|Arene (679.0,36.0,-49.0)|06/07/2013 18:42:04 CEST|Lulufp27 became obsidian
Martoun|||LAVA|IWorld (-301.0,6.0,285.0)|06/07/2013 18:42:53 CEST|Martoun was killed by lava
Lulufp27|||FALL|Magellan (-519.0,63.0,211.0)|06/07/2013 18:48:59 CEST|Lulufp27 fell to their death
TheDarwald|||LAVA|Arene (714.0,38.0,-17.0)|06/07/2013 18:56:19 CEST|TheDarwald took a bath in a lake of fire
Lulufp27|Skeleton||PROJECTILE|Magellan (32.0,65.0,102.0)|06/07/2013 18:57:28 CEST|Lulufp27 a ete tuee par un Skeleton
TheDarwald|||LAVA|Arene (685.0,33.0,-24.0)|06/07/2013 18:59:41 CEST|TheDarwald was killed by lava
TheDarwald|Lulufp27|267x-115|ENTITY_ATTACK|Arene (686.0,79.0,-32.0)|06/07/2013 19:00:09 CEST|Lulufp27 tue TheDarwald avec iron sword
Lulufp27|||LAVA|Arene (698.0,36.0,-28.0)|06/07/2013 19:00:26 CEST|Lulufp27 became obsidian
theodu76|||DROWNING|Magellan (-222.0,61.0,112.0)|06/07/2013 19:06:08 CEST|theodu76 as nage trop longtemps !
theodu76|||FIRE|Arene (682.0,35.0,-50.0)|06/07/2013 19:08:23 CEST|theodu76 burned to death
adr725|||LAVA|Arene (688.0,36.0,-40.0)|06/07/2013 19:10:14 CEST|adr725 was killed by lava
darklegend|||VOID|Arene (-198.0,-195.0,257.0)|06/07/2013 19:11:23 CEST|darklegend fell into the Gap
theodu76|||LAVA|Arene (693.0,35.0,-35.0)|06/07/2013 19:11:57 CEST|theodu76 took a bath in a lake of fire
theodu76|||LAVA|Arene (654.0,35.0,-9.0)|06/07/2013 19:12:37 CEST|theodu76 took a bath in a lake of fire
darklegend|theodu76|272x22|ENTITY_ATTACK|Arene (656.0,79.0,-54.0)|06/07/2013 19:13:06 CEST|theodu76 tue darklegend avec stone sword
adr725|theodu76|272x34|ENTITY_ATTACK|Arene (688.0,80.0,-32.0)|06/07/2013 19:13:37 CEST|theodu76 tue adr725 avec stone sword
darklegend|theodu76|272x39|ENTITY_ATTACK|Arene (687.0,79.0,-30.0)|06/07/2013 19:13:45 CEST|theodu76 tue darklegend avec stone sword
adr725|theodu76|272x44|ENTITY_ATTACK|Arene (687.0,79.0,-31.0)|06/07/2013 19:13:50 CEST|theodu76 tue adr725 avec stone sword
theodu76|adr725|267x58|ENTITY_ATTACK|Arene (690.0,79.0,-32.0)|06/07/2013 19:14:00 CEST|adr725 tue theodu76 avec iron sword
