#HeroicDeathPlus Data Log - This file stores serialized data on player deaths in the following order:
#HeroicDeathPlus ??? - ???? ???? ???????? ?????? ? ??????? ? ????? ???????:
#Victim|Killer|Murder Weapon|Cause of Death|Location|Timestamp|Death Message
#??????|??????|?????? ????????|??????? ??????|??????????????|?????|????????? ? ??????
#Murder weapon is in the format TypeIDxData, so Red Wool would be 35x14
#Location is in the format (x, y, z), and represents where the victim died.
Thi191|NicoTCS|261x-124|PROJECTILE|Arene (693.0,79.0,-2.0)|06/09/2013 18:10:07 CEST|NicoTCS a tue Thi191 avec bow & arrow
Thi191|||FALL|Arene (687.0,82.0,-32.0)|06/09/2013 18:10:31 CEST|Thi191 as des ailes defaillantes ...
NicoTCS|||FALL|Arene (721.0,79.0,18.0)|06/09/2013 18:11:06 CEST|NicoTCS as plonger la tete la premiere sur de la pierre ....
loumious04|||FALL|Magellan (-113.0,65.0,291.0)|06/09/2013 18:11:37 CEST|loumious04 as plonger la tete la premiere sur de la pierre ....
NicoTCS|sep76|261x84|PROJECTILE|Arene (697.0,79.0,7.0)|06/09/2013 18:12:24 CEST|sep76 a tue NicoTCS avec bow & arrow
Thi191|||FIRE_TICK|Arene (705.0,79.0,-39.0)|06/09/2013 18:12:44 CEST|Thi191 forgot how to stop, drop and roll
NicoTCS|sep76|267x110|ENTITY_ATTACK|Arene (704.0,101.0,15.0)|06/09/2013 18:13:29 CEST|sep76 a tue NicoTCS avec iron sword
Thi191|||FIRE_TICK|Arene (699.0,75.0,-2.0)|06/09/2013 18:13:36 CEST|Thi191 a ete brule a mort !
sptim|||FIRE_TICK|Arene (688.0,70.0,-16.0)|06/09/2013 18:13:41 CEST|sptim forgot how to stop, drop and roll
rafou500|||FALL|world (-51.0,43.0,-11.0)|06/09/2013 18:13:50 CEST|rafou500 as plonger la tete la premiere sur de la pierre ....
NicoTCS|Thi191|261x63|PROJECTILE|Arene (694.0,87.0,10.0)|06/09/2013 18:13:57 CEST|Thi191 a tue NicoTCS avec bow & arrow
Thi191|||LAVA|Arene (686.0,42.0,-2.0)|06/09/2013 18:14:17 CEST|Thi191 as confondus eau et lave ...
sep76|||LAVA|Arene (710.0,36.0,1.0)|06/09/2013 18:14:31 CEST|sep76 as confondus eau et lave ...
NicoTCS|Thi191|267x85|ENTITY_ATTACK|Arene (693.0,79.0,0.0)|06/09/2013 18:14:46 CEST|Thi191 a tue NicoTCS avec iron sword
loumious04|sep76|267x118|ENTITY_ATTACK|Arene (684.0,79.0,-21.0)|06/09/2013 18:15:04 CEST|sep76 a tue loumious04 avec iron sword
NicoTCS|sep76|267x120|ENTITY_ATTACK|Arene (694.0,86.0,16.0)|06/09/2013 18:15:28 CEST|sep76 a tue NicoTCS avec iron sword
Thi191|||FALL|Arene (707.0,46.0,5.0)|06/09/2013 18:15:53 CEST|Thi191 as plonger la tete la premiere sur de la pierre ....
NicoTCS|||FIRE_TICK|Arene (689.0,79.0,8.0)|06/09/2013 18:15:59 CEST|NicoTCS a ete brule a mort !
NicoTCS|sep76|267x123|ENTITY_ATTACK|Arene (692.0,79.0,6.0)|06/09/2013 18:16:11 CEST|sep76 a tue NicoTCS avec iron sword
sep76|NicoTCS|267x-121|ENTITY_ATTACK|Arene (690.0,88.0,19.0)|06/09/2013 18:16:27 CEST|NicoTCS a tue sep76 avec iron sword
NicoTCS|||FIRE_TICK|Arene (689.0,83.0,20.0)|06/09/2013 18:16:28 CEST|NicoTCS a ete brule a mort !
Thi191|||FALL|Arene (688.0,82.0,-32.0)|06/09/2013 18:16:33 CEST|Thi191 as des ailes defaillantes ...
NicoTCS|||FALL|Arene (703.0,85.0,16.0)|06/09/2013 18:17:30 CEST|NicoTCS as des ailes defaillantes ...
Thi191|Zombie||ENTITY_ATTACK|Arene (678.0,79.0,-68.0)|06/09/2013 18:17:41 CEST|Thi191 a ete tuee par un Zombie
NicoTCS|||LAVA|Arene (697.0,32.0,8.0)|06/09/2013 18:17:56 CEST|NicoTCS est tombe dans la lave ...
Thi191|||FALL|Arene (686.0,123.0,2.0)|06/09/2013 18:18:19 CEST|Thi191 as plonger la tete la premiere sur de la pierre ....
Thi191|||FALL|Arene (665.0,80.0,-3.0)|06/09/2013 18:19:21 CEST|Thi191 as des ailes defaillantes ...
rafou500|||DROWNING|Spawn (-228.0,60.0,188.0)|06/09/2013 18:19:30 CEST|rafou500 as nage trop longtemps !
bolid|||LAVA|Arene (695.0,38.0,-29.0)|06/09/2013 18:19:35 CEST|bolid as nage dans la lave ....
Thi191|||FALL|Arene (677.0,80.0,2.0)|06/09/2013 18:19:52 CEST|Thi191 as des ailes defaillantes ...
loumious04|MaxTuto|261x67|PROJECTILE|Arene (679.0,79.0,-31.0)|06/09/2013 18:20:03 CEST|MaxTuto a tue loumious04 avec bow & arrow
sep76|MaxTuto|261x67|PROJECTILE|Arene (677.0,80.0,-27.0)|06/09/2013 18:20:10 CEST|MaxTuto a tue sep76 avec bow & arrow
bolid|MaxTuto|261x67|PROJECTILE|Arene (708.0,79.0,-37.0)|06/09/2013 18:20:22 CEST|MaxTuto a tue bolid avec bow & arrow
Thi191|||FALL|Arene (689.0,80.0,-11.0)|06/09/2013 18:20:41 CEST|Thi191 as des ailes defaillantes ...
NicoTCS|||LAVA|Arene (709.0,36.0,-17.0)|06/09/2013 18:20:45 CEST|NicoTCS as confondus eau et lave ...
MaxTuto|sep76|261x110|PROJECTILE|Arene (709.0,79.0,-37.0)|06/09/2013 18:20:46 CEST|sep76 a tue MaxTuto avec bow & arrow
NicoTCS|||FALL|Arene (692.0,80.0,27.0)|06/09/2013 18:20:57 CEST|NicoTCS as des ailes defaillantes ...
NicoTCS|||FALL|Arene (694.0,86.0,14.0)|06/09/2013 18:21:06 CEST|NicoTCS as plonger la tete la premiere sur de la pierre ....
thomas1317|||LAVA|Spawn (-476.0,27.0,150.0)|06/09/2013 18:21:21 CEST|thomas1317 as nage dans la lave ....
NicoTCS|Thi191|267x87|ENTITY_ATTACK|Arene (691.0,101.0,24.0)|06/09/2013 18:21:22 CEST|Thi191 a tue NicoTCS avec iron sword
Thi191|NicoTCS|267x-115|ENTITY_ATTACK|Arene (691.0,100.0,23.0)|06/09/2013 18:21:30 CEST|NicoTCS a tue Thi191 avec iron sword
NicoTCS|||FIRE_TICK|Arene (690.0,99.0,24.0)|06/09/2013 18:21:35 CEST|NicoTCS a ete brule a mort !
Thi191|||FALL|Arene (689.0,80.0,11.0)|06/09/2013 18:21:40 CEST|Thi191 as des ailes defaillantes ...
loumious04|||FIRE_TICK|Arene (693.0,79.0,-41.0)|06/09/2013 18:21:40 CEST|loumious04 a ete brule a mort !
totoanelia|sep76|261x-128|PROJECTILE|Arene (688.0,79.0,-44.0)|06/09/2013 18:21:44 CEST|sep76 a tue totoanelia avec bow & arrow
Thi191|NicoTCS|267x-114|ENTITY_ATTACK|Arene (693.0,101.0,22.0)|06/09/2013 18:21:55 CEST|NicoTCS a tue Thi191 avec iron sword
bolid|sep76|261x-122|PROJECTILE|Arene (665.0,79.0,-38.0)|06/09/2013 18:21:55 CEST|sep76 a tue bolid avec bow & arrow
NicoTCS|||FIRE_TICK|Arene (697.0,102.0,15.0)|06/09/2013 18:22:01 CEST|NicoTCS forgot how to stop, drop and roll
Thi191|||FALL|Arene (696.0,80.0,5.0)|06/09/2013 18:22:23 CEST|Thi191 as plonger la tete la premiere sur de la pierre ....
NicoTCS|||FIRE_TICK|Arene (694.0,87.0,20.0)|06/09/2013 18:22:23 CEST|NicoTCS forgot how to stop, drop and roll
bolid|Enderman||ENTITY_ATTACK|Magellan (-114.0,64.0,280.0)|06/09/2013 18:22:35 CEST|bolid a ete tuee par un Enderman
NicoTCS|Thi191|267x88|ENTITY_ATTACK|Arene (713.0,97.0,14.0)|06/09/2013 18:22:42 CEST|Thi191 a tue NicoTCS avec iron sword
loumious04|Enderman||ENTITY_ATTACK|Magellan (-114.0,64.0,281.0)|06/09/2013 18:22:51 CEST|loumious04 a ete tuee par un Enderman
NicoTCS|Thi191|267x88|ENTITY_ATTACK|Arene (698.0,101.0,18.0)|06/09/2013 18:23:00 CEST|Thi191 a tue NicoTCS avec iron sword
Thi191|||FALL|Arene (708.0,86.0,15.0)|06/09/2013 18:23:01 CEST|Thi191 as des ailes defaillantes ...
MaxTuto|||LAVA|Arene (682.0,43.0,-24.0)|06/09/2013 18:23:09 CEST|MaxTuto as confondus eau et lave ...
Thi191|||FALL|Arene (690.0,83.0,19.0)|06/09/2013 18:23:18 CEST|Thi191 as des ailes defaillantes ...
NicoTCS|||FALL|Arene (694.0,80.0,24.0)|06/09/2013 18:23:18 CEST|NicoTCS as plonger la tete la premiere sur de la pierre ....
Thi191|NicoTCS|267x-106|ENTITY_ATTACK|Arene (692.0,101.0,24.0)|06/09/2013 18:23:27 CEST|NicoTCS a tue Thi191 avec iron sword
NicoTCS|||FALL|Arene (690.0,93.0,21.0)|06/09/2013 18:23:28 CEST|NicoTCS as des ailes defaillantes ...
Thi191|NicoTCS|267x-103|ENTITY_ATTACK|Arene (691.0,100.0,24.0)|06/09/2013 18:23:36 CEST|NicoTCS a tue Thi191 avec iron sword
sep76|||LAVA|Arene (696.0,37.0,-23.0)|06/09/2013 18:23:36 CEST|sep76 est tombe dans la lave ...
NicoTCS|||FIRE_TICK|Arene (689.0,99.0,23.0)|06/09/2013 18:23:40 CEST|NicoTCS forgot how to stop, drop and roll
Thi191|NicoTCS|267x-101|ENTITY_ATTACK|Arene (689.0,98.0,19.0)|06/09/2013 18:23:49 CEST|NicoTCS a tue Thi191 avec iron sword
NicoTCS|||FALL|Arene (689.0,86.0,20.0)|06/09/2013 18:23:50 CEST|NicoTCS as plonger la tete la premiere sur de la pierre ....
NicoTCS|||FALL|Arene (699.0,80.0,30.0)|06/09/2013 18:24:00 CEST|NicoTCS as plonger la tete la premiere sur de la pierre ....
totoanelia|||LAVA|Arene (699.0,34.0,-30.0)|06/09/2013 18:24:00 CEST|totoanelia est tombe dans la lave ...
Thi191|NicoTCS|267x-99|ENTITY_ATTACK|Arene (696.0,102.0,19.0)|06/09/2013 18:24:10 CEST|NicoTCS a tue Thi191 avec iron sword
sptim|sep76|267x-121|ENTITY_ATTACK|Arene (681.0,79.0,-32.0)|06/09/2013 18:24:14 CEST|sep76 a tue sptim avec iron sword
MaxTuto|||LAVA|Arene (679.0,38.0,-36.0)|06/09/2013 18:24:14 CEST|MaxTuto as nage dans la lave ....
NicoTCS|Thi191|267x90|ENTITY_ATTACK|Arene (702.0,101.0,15.0)|06/09/2013 18:24:18 CEST|Thi191 a tue NicoTCS avec iron sword
sep76|MaxTuto|261x75|PROJECTILE|Arene (692.0,79.0,-12.0)|06/09/2013 18:24:31 CEST|MaxTuto a tue sep76 avec bow & arrow
MaxTuto|||LAVA|Arene (687.0,38.0,-26.0)|06/09/2013 18:24:34 CEST|MaxTuto as nage dans la lave ....
Thi191|NicoTCS|267x-98|ENTITY_ATTACK|Arene (694.0,87.0,8.0)|06/09/2013 18:24:35 CEST|NicoTCS a tue Thi191 avec iron sword
sptim|||FALL|Arene (644.0,102.0,-33.0)|06/09/2013 18:24:51 CEST|sptim as plonger la tete la premiere sur de la pierre ....
Thi191|NicoTCS|267x-97|ENTITY_ATTACK|Arene (688.0,79.0,-14.0)|06/09/2013 18:24:56 CEST|NicoTCS a tue Thi191 avec iron sword
NicoTCS|||FIRE_TICK|Arene (693.0,79.0,-27.0)|06/09/2013 18:25:03 CEST|NicoTCS forgot how to stop, drop and roll
bolid|Creeper||ENTITY_ATTACK|Magellan (-15.0,64.0,246.0)|06/09/2013 18:25:08 CEST|bolid etait tue par un creeper !
sep76|||LAVA|Arene (684.0,35.0,-18.0)|06/09/2013 18:25:10 CEST|sep76 as confondus eau et lave ...
sptim|MaxTuto|261x75|PROJECTILE|Arene (688.0,79.0,-31.0)|06/09/2013 18:25:20 CEST|MaxTuto a tue sptim avec bow & arrow
NicoTCS|MaxTuto|261x75|PROJECTILE|Arene (672.0,79.0,-35.0)|06/09/2013 18:25:34 CEST|MaxTuto a tue NicoTCS avec bow & arrow
Thi191|sep76|261x-119|PROJECTILE|Arene (690.0,79.0,6.0)|06/09/2013 18:25:48 CEST|sep76 a tue Thi191 avec bow & arrow
NicoTCS|MaxTuto|261x75|PROJECTILE|Arene (691.0,79.0,6.0)|06/09/2013 18:25:49 CEST|MaxTuto a tue NicoTCS avec bow & arrow
sep76|||FIRE|Arene (688.0,39.0,-2.0)|06/09/2013 18:25:51 CEST|sep76 forgot how to stop, drop and roll
Thi191|MaxTuto|261x75|PROJECTILE|Arene (683.0,79.0,-5.0)|06/09/2013 18:26:10 CEST|MaxTuto a tue Thi191 avec bow & arrow
NicoTCS|||FALL|Arene (699.0,80.0,2.0)|06/09/2013 18:26:19 CEST|NicoTCS as plonger la tete la premiere sur de la pierre ....
MaxTuto|Thi191|261x84|PROJECTILE|Arene (675.0,79.0,-1.0)|06/09/2013 18:26:29 CEST|Thi191 a tue MaxTuto avec bow & arrow
NicoTCS|||LAVA|Arene (682.0,38.0,0.0)|06/09/2013 18:26:37 CEST|NicoTCS as nage dans la lave ....
Thi191|NicoTCS|261x-83|PROJECTILE|Arene (692.0,79.0,7.0)|06/09/2013 18:26:48 CEST|NicoTCS a tue Thi191 avec bow & arrow
loumious04|totoanelia|276x6|ENTITY_ATTACK|world_nether (125.0,35.0,37.0)|06/09/2013 18:26:58 CEST|totoanelia a tue loumious04 avec diamond sword
NicoTCS|||FIRE_TICK|Arene (697.0,96.0,22.0)|06/09/2013 18:27:14 CEST|NicoTCS forgot how to stop, drop and roll
Thi191|NicoTCS|267x-94|ENTITY_ATTACK|Arene (689.0,99.0,23.0)|06/09/2013 18:27:22 CEST|NicoTCS a tue Thi191 avec iron sword
NicoTCS|||FALL|Arene (690.0,80.0,25.0)|06/09/2013 18:27:23 CEST|NicoTCS as plonger la tete la premiere sur de la pierre ....
Thi191|MaxTuto|261x76|PROJECTILE|Arene (695.0,79.0,-3.0)|06/09/2013 18:27:40 CEST|MaxTuto a tue Thi191 avec bow & arrow
loumious04|||FIRE|world_nether (20.0,54.0,1.0)|06/09/2013 18:27:50 CEST|loumious04 forgot how to stop, drop and roll
Thi191|NicoTCS|267x-93|ENTITY_ATTACK|Arene (686.0,79.0,-34.0)|06/09/2013 18:28:06 CEST|NicoTCS a tue Thi191 avec iron sword
MaxTuto|||LAVA|Arene (697.0,44.0,-42.0)|06/09/2013 18:28:09 CEST|MaxTuto as confondus eau et lave ...
NicoTCS|||FIRE_TICK|Arene (678.0,80.0,-38.0)|06/09/2013 18:28:10 CEST|NicoTCS a ete brule a mort !
MaxTuto|||FALL|Arene (692.0,79.0,-38.0)|06/09/2013 18:28:22 CEST|MaxTuto as des ailes defaillantes ...
MaxTuto|NicoTCS|267x-89|ENTITY_ATTACK|Arene (688.0,79.0,-49.0)|06/09/2013 18:28:35 CEST|NicoTCS a tue MaxTuto avec iron sword
sptim|NicoTCS|267x-88|ENTITY_ATTACK|Arene (694.0,79.0,-32.0)|06/09/2013 18:28:38 CEST|NicoTCS a tue sptim avec iron sword
NicoTCS|Thi191|267x93|ENTITY_ATTACK|Arene (682.0,79.0,-31.0)|06/09/2013 18:29:09 CEST|Thi191 a tue NicoTCS avec iron sword
Thi191|adr725|261x0|PROJECTILE|Arene (684.0,79.0,-32.0)|06/09/2013 18:29:11 CEST|adr725 a tue Thi191 avec bow & arrow
MaxTuto|adr725|261x0|PROJECTILE|Arene (686.0,79.0,-48.0)|06/09/2013 18:29:15 CEST|adr725 a tue MaxTuto avec bow & arrow
NicoTCS|Thi191|267x93|ENTITY_ATTACK|Arene (692.0,101.0,22.0)|06/09/2013 18:29:22 CEST|Thi191 a tue NicoTCS avec iron sword
Thi191|adr725|261x0|PROJECTILE|Arene (695.0,87.0,11.0)|06/09/2013 18:29:32 CEST|adr725 a tue Thi191 avec bow & arrow
NicoTCS|adr725|261x0|PROJECTILE|Arene (695.0,87.0,11.0)|06/09/2013 18:29:41 CEST|adr725 a tue NicoTCS avec bow & arrow
Thi191|adr725|261x0|PROJECTILE|Arene (695.0,90.0,8.0)|06/09/2013 18:29:44 CEST|adr725 a tue Thi191 avec bow & arrow
loumious04|adr725|261x0|PROJECTILE|Arene (676.0,79.0,-28.0)|06/09/2013 18:29:51 CEST|adr725 a tue loumious04 avec bow & arrow
Thi191|||FALL|Arene (692.0,80.0,26.0)|06/09/2013 18:30:00 CEST|Thi191 as des ailes defaillantes ...
bolid|adr725|261x0|PROJECTILE|Arene (694.0,79.0,-37.0)|06/09/2013 18:30:07 CEST|adr725 a tue bolid avec bow & arrow
adr725|||FIRE|Arene (685.0,35.0,-26.0)|06/09/2013 18:30:29 CEST|adr725 a ete brule a mort !
loumious04|NicoTCS|261x-73|PROJECTILE|Arene (686.0,79.0,-47.0)|06/09/2013 18:30:30 CEST|NicoTCS a tue loumious04 avec bow & arrow
bolid|||FIRE_TICK|Arene (689.0,79.0,-24.0)|06/09/2013 18:30:43 CEST|bolid a ete brule a mort !
adr725|Thi191|267x93|ENTITY_ATTACK|Arene (699.0,79.0,4.0)|06/09/2013 18:30:55 CEST|Thi191 a tue adr725 avec iron sword
adr725|||LAVA|Arene (694.0,34.0,-43.0)|06/09/2013 18:31:08 CEST|adr725 est tombe dans la lave ...
loumious04|||LAVA|Arene (692.0,38.0,-29.0)|06/09/2013 18:31:27 CEST|loumious04 as confondus eau et lave ...
adr725|Thi191|267x95|ENTITY_ATTACK|Arene (682.0,79.0,-32.0)|06/09/2013 18:31:27 CEST|Thi191 a tue adr725 avec iron sword
Thi191|adr725|261x0|PROJECTILE|Arene (709.0,79.0,-28.0)|06/09/2013 18:31:42 CEST|adr725 a tue Thi191 avec bow & arrow
adr725|MaxTuto|261x83|PROJECTILE|Arene (708.0,79.0,-29.0)|06/09/2013 18:31:47 CEST|MaxTuto a tue adr725 avec bow & arrow
NicoTCS|||FALL|Arene (724.0,42.0,-21.0)|06/09/2013 18:31:57 CEST|NicoTCS as des ailes defaillantes ...
loumious04|||LAVA|Arene (691.0,38.0,-21.0)|06/09/2013 18:32:04 CEST|loumious04 as nage dans la lave ....
adr725|sep76|261x-112|PROJECTILE|Arene (702.0,80.0,3.0)|06/09/2013 18:32:04 CEST|sep76 a tue adr725 avec bow & arrow
MaxTuto|||LAVA|Arene (695.0,37.0,-17.0)|06/09/2013 18:32:10 CEST|MaxTuto as confondus eau et lave ...
bolid|adr725|267x-115|ENTITY_ATTACK|Arene (685.0,79.0,-18.0)|06/09/2013 18:32:15 CEST|adr725 a tue bolid avec iron sword
adr725|NicoTCS|267x-82|ENTITY_ATTACK|Arene (693.0,79.0,-46.0)|06/09/2013 18:32:31 CEST|NicoTCS a tue adr725 avec iron sword
adr725|NicoTCS|267x-80|ENTITY_ATTACK|Arene (676.0,79.0,-34.0)|06/09/2013 18:32:48 CEST|NicoTCS a tue adr725 avec iron sword
sep76|||FIRE_TICK|Arene (640.0,102.0,-32.0)|06/09/2013 18:32:54 CEST|sep76 forgot how to stop, drop and roll
adr725|||LAVA|Arene (676.0,36.0,-23.0)|06/09/2013 18:32:58 CEST|adr725 est tombe dans la lave ...
adr725|||FIRE|Arene (684.0,36.0,-38.0)|06/09/2013 18:33:07 CEST|adr725 forgot how to stop, drop and roll
NicoTCS|Thi191|267x95|ENTITY_ATTACK|Arene (695.0,86.0,14.0)|06/09/2013 18:33:17 CEST|Thi191 a tue NicoTCS avec iron sword
adr725|sep76|267x4|ENTITY_ATTACK|Arene (709.0,79.0,-22.0)|06/09/2013 18:33:30 CEST|sep76 a tue adr725 avec iron sword
sep76|Thi191|267x98|ENTITY_ATTACK|Arene (708.0,79.0,-23.0)|06/09/2013 18:33:31 CEST|Thi191 a tue sep76 avec iron sword
adr725|||LAVA|Arene (690.0,37.0,-52.0)|06/09/2013 18:33:46 CEST|adr725 est tombe dans la lave ...
Thi191|NicoTCS|267x-79|ENTITY_ATTACK|Arene (688.0,79.0,-21.0)|06/09/2013 18:34:03 CEST|NicoTCS a tue Thi191 avec iron sword
NicoTCS|||FIRE_TICK|Arene (684.0,79.0,-18.0)|06/09/2013 18:34:05 CEST|NicoTCS forgot how to stop, drop and roll
Thi191|NicoTCS|267x-78|ENTITY_ATTACK|Arene (709.0,80.0,11.0)|06/09/2013 18:34:25 CEST|NicoTCS a tue Thi191 avec iron sword
sep76|||FIRE_TICK|Arene (639.0,102.0,-33.0)|06/09/2013 18:34:26 CEST|sep76 a ete brule a mort !
NicoTCS|||FALL|Arene (716.0,49.0,4.0)|06/09/2013 18:35:02 CEST|NicoTCS as plonger la tete la premiere sur de la pierre ....
Thi191|||FIRE|Spawn (-476.0,28.0,150.0)|06/09/2013 18:35:27 CEST|Thi191 forgot how to stop, drop and roll
Thi191|||FALL|Arene (644.0,102.0,-33.0)|06/09/2013 18:35:48 CEST|Thi191 as plonger la tete la premiere sur de la pierre ....
adr725|||LAVA|Arene (685.0,36.0,-23.0)|06/09/2013 18:37:28 CEST|adr725 as nage dans la lave ....
adr725|Thi191|267x100|ENTITY_ATTACK|Arene (690.0,80.0,-23.0)|06/09/2013 18:37:51 CEST|Thi191 a tue adr725 avec iron sword
Thi191|||LAVA|Arene (678.0,35.0,-19.0)|06/09/2013 18:37:59 CEST|Thi191 as nage dans la lave ....
adr725|Thi191|267x102|ENTITY_ATTACK|Arene (684.0,81.0,-18.0)|06/09/2013 18:38:07 CEST|Thi191 a tue adr725 avec iron sword
Thi191|Zombie||ENTITY_ATTACK|Arene (694.0,79.0,-33.0)|06/09/2013 18:38:18 CEST|Thi191 a ete tuee par un Zombie
adr725|Zombie||ENTITY_ATTACK|Arene (692.0,79.0,-33.0)|06/09/2013 18:38:19 CEST|adr725 a ete tuee par un Zombie
ziboul50|||LAVA|Arene (681.0,36.0,-35.0)|06/09/2013 18:53:27 CEST|ziboul50 est tombe dans la lave ...
sptim|||CUSTOM|Crea (1293.0,5.0,-485.0)|06/09/2013 18:54:43 CEST|sptim est mort pas une cause inconnu
Janille|||LAVA|Arene (669.0,36.0,-22.0)|06/09/2013 19:06:12 CEST|Janille as confondus eau et lave ...
IteKo|||LAVA|Arene (671.0,35.0,-38.0)|06/09/2013 19:14:06 CEST|IteKo as confondus eau et lave ...
IteKo|||FALL|Arene (716.0,41.0,-9.0)|06/09/2013 19:16:04 CEST|IteKo as plonger la tete la premiere sur de la pierre ....
Fushiin|Creeper||ENTITY_ATTACK|Magellan (-43.0,64.0,830.0)|06/09/2013 19:23:48 CEST|Fushiin etait tue par un creeper !
LasLINo31|Araignee||ENTITY_ATTACK|Magellan (-5.0,64.0,264.0)|06/09/2013 19:25:01 CEST|LasLINo31 a ete tuee par un Araignee
maxichouchou|Thecrafteur1995|267x116|ENTITY_ATTACK|Arene (678.0,79.0,-24.0)|06/09/2013 19:25:37 CEST|Thecrafteur1995 a tue maxichouchou avec iron sword
Thecrafteur1995|||LAVA|Arene (654.0,40.0,-36.0)|06/09/2013 19:26:09 CEST|Thecrafteur1995 as confondus eau et lave ...
steph2905|||LAVA|Arene (705.0,39.0,-3.0)|06/09/2013 19:26:37 CEST|steph2905 est tombe dans la lave ...
trasilidya|||LAVA|Arene (655.0,40.0,-40.0)|06/09/2013 19:28:46 CEST|trasilidya as nage dans la lave ....
steph2905|||LAVA|Arene (697.0,32.0,6.0)|06/09/2013 19:28:51 CEST|steph2905 as nage dans la lave ....
NicoTCS|||FALL|Arene (715.0,49.0,4.0)|06/09/2013 19:29:10 CEST|NicoTCS as plonger la tete la premiere sur de la pierre ....
NicoTCS|||LAVA|Arene (716.0,39.0,-26.0)|06/09/2013 19:30:37 CEST|NicoTCS as confondus eau et lave ...
Janille|||FIRE|Arene (689.0,34.0,-17.0)|06/09/2013 19:47:07 CEST|Janille a ete brule a mort !
adr725|Creeper||ENTITY_ATTACK|Magellan (-115.0,69.0,254.0)|06/09/2013 19:47:42 CEST|adr725 etait tue par un creeper !
Janille|||FALL|Arene (711.0,48.0,5.0)|06/09/2013 19:47:47 CEST|Janille as plonger la tete la premiere sur de la pierre ....
Janille|||FALL|Arene (714.0,48.0,6.0)|06/09/2013 19:48:01 CEST|Janille as des ailes defaillantes ...
Janille|Janille|261x-49|PROJECTILE|Arene (715.0,79.0,20.0)|06/09/2013 19:49:22 CEST|Janille a tue Janille avec bow & arrow
adr725|||FIRE_TICK|Arene (677.0,79.0,-26.0)|06/09/2013 19:50:03 CEST|adr725 a ete brule a mort !
Janille|||FIRE_TICK|Arene (684.0,79.0,-16.0)|06/09/2013 19:50:14 CEST|Janille a ete brule a mort !
adr725|adr725|261x-3|PROJECTILE|Arene (686.0,79.0,-23.0)|06/09/2013 19:50:19 CEST|adr725 a tue adr725 avec bow & arrow
steph2905|||LAVA|Arene (699.0,35.0,-31.0)|06/09/2013 19:50:38 CEST|steph2905 est tombe dans la lave ...
Janille|steph2905|272x31|ENTITY_ATTACK|Arene (698.0,79.0,6.0)|06/09/2013 19:50:53 CEST|steph2905 a tue Janille avec stone sword
Janille|||FALL|Arene (686.0,79.0,-31.0)|06/09/2013 19:51:07 CEST|Janille as des ailes defaillantes ...
steph2905|||FIRE|Arene (690.0,33.0,-49.0)|06/09/2013 19:51:19 CEST|steph2905 forgot how to stop, drop and roll
Janille|||LAVA|Arene (682.0,42.0,-27.0)|06/09/2013 19:51:37 CEST|Janille as confondus eau et lave ...
Janille|||FALL|Arene (686.0,79.0,-31.0)|06/09/2013 19:51:46 CEST|Janille as des ailes defaillantes ...
Janille|||LAVA|Arene (683.0,35.0,-24.0)|06/09/2013 19:53:01 CEST|Janille as confondus eau et lave ...
Janille|||FALL|Arene (690.0,48.0,13.0)|06/09/2013 19:55:18 CEST|Janille as plonger la tete la premiere sur de la pierre ....
trasilidya|Zombie||ENTITY_ATTACK|Magellan (-281.0,37.0,321.0)|06/09/2013 19:56:43 CEST|trasilidya a ete tuee par un Zombie
Janille|Janille|261x-13|PROJECTILE|Arene (691.0,79.0,6.0)|06/09/2013 19:57:35 CEST|Janille a tue Janille avec bow & arrow
Janille|||LAVA|Arene (687.0,34.0,-26.0)|06/09/2013 19:57:58 CEST|Janille as nage dans la lave ....
rafou500|Skeleton||PROJECTILE|Magellan (-142.0,64.0,267.0)|06/09/2013 19:59:04 CEST|rafou500 a ete tuee par un Skeleton
rafou500|Cochon Zombie||ENTITY_ATTACK|world_nether (202.0,54.0,51.0)|06/09/2013 20:02:20 CEST|rafou500 a ete tuee par un Cochon Zombie
rafou500|||LAVA|world_nether (142.0,31.0,54.0)|06/09/2013 20:03:40 CEST|rafou500 as confondus eau et lave ...
guilhyan12|||FIRE|Arene (694.0,37.0,-60.0)|06/09/2013 21:41:37 CEST|guilhyan12 forgot how to stop, drop and roll
Fushiin|Zombie||ENTITY_ATTACK|Magellan (-41.0,67.0,847.0)|06/09/2013 22:48:10 CEST|Fushiin a ete tuee par un Zombie
Fushiin|Zombie||ENTITY_ATTACK|Magellan (-44.0,67.0,845.0)|06/09/2013 22:48:50 CEST|Fushiin a ete tuee par un Zombie
thomas1317|||LAVA|Arene (705.0,37.0,-8.0)|06/10/2013 12:56:29 CEST|thomas1317 as confondus eau et lave ...
Shino29|||FALL|Arene (698.0,40.0,-64.0)|06/10/2013 13:17:31 CEST|Shino29 as plonger la tete la premiere sur de la pierre ....
Shino29|maxfly77|272x16|ENTITY_ATTACK|Arene (663.0,79.0,-54.0)|06/10/2013 13:18:12 CEST|maxfly77 a tue Shino29 avec stone sword
maxfly77|ziboul50|267x44|ENTITY_ATTACK|Arene (694.0,80.0,-3.0)|06/10/2013 13:19:59 CEST|ziboul50 a tue maxfly77 avec iron sword
ziboul50|||LAVA|Arene (672.0,42.0,-42.0)|06/10/2013 13:20:31 CEST|ziboul50 as nage dans la lave ....
