date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:58	48259/48259	---M--	200	added ('OK')	image/png	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/img/example-sites/kippt.png	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/img/example-sites/kippt.png	(from )
14:48:59	7258/7258	---M--	200	added ('OK')	image/png	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/img/example-sites/jshint.png	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/img/example-sites/jshint.png	(from )
14:48:59	92629/92629	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/js/jquery.js	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/js/jquery.js	(from )
14:49:00	1756/1756	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/js/bootstrap-transition.js	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/js/bootstrap-transition.js	(from )
14:49:00	85762/85762	---M--	200	added ('OK')	application/zip	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/bootstrap.zip	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/bootstrap.zip	(from )
14:49:00	2524/2524	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/js/bootstrap-alert.js	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/js/bootstrap-alert.js	(from )
14:49:00	6656/6656	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/js/bootstrap-modal.js	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/js/bootstrap-modal.js	(from )
14:49:01	4413/4413	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/js/bootstrap-dropdown.js	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/js/bootstrap-dropdown.js	(from )
14:49:01	4655/4655	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/js/bootstrap-scrollspy.js	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/js/bootstrap-scrollspy.js	(from )
14:49:01	3496/3496	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/js/bootstrap-tab.js	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/js/bootstrap-tab.js	(from )
14:49:01	9911/9911	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/js/bootstrap-tooltip.js	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/js/bootstrap-tooltip.js	(from )
14:49:02	3115/3115	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2017%20May%202013%2017:29:19%20GMT	http://twitter.github.io/bootstrap/assets/js/bootstrap-popover.js	C:/Mes%20Sites%20Web/Bootstrap/twitter.github.io/bootstrap/assets/js/bootstrap-popover.js	(from )
